model_name,total_params,train_epoch_time,test_epoch_time,gpu_peak_mem_mb
MuSTRec,34121408,30.5053,8.147,1657.34
bsarec,1577792,9.3249,19.4332,1034.59
bert4rec,1577472,32.4977,21.1825,1423.26
fearec,1577408,142.9599,20.6301,5126.11
sasrec,1577408,8.0722,20.4771,881.15
fmlprec,1550784,6.3531,20.2804,869.88
FREEDOM,33566528,8.0681,2.7456,783.03
LGMRec,2000320,15.7573,2.9911,427.26
VBPR,3226944,6.6796,2.6352,547.07
MMGCN,1418240,15.0671,2.7745,972.89
MGCN,33587392,12.7764,2.8726,781.35
GRCN,4524478,11.3119,2.7148,1202.82
LightGCN,1695680,7.1216,2.5974,286.15
BPR,1695680,6.6291,2.6124,276.2
LATTICE,33566530,7.7409,2.9352,2451.81
